THRESH TP FP TN FN ESPECIFICIDADE SENSITIVIDADE PRECISAO
0.134000 55.000000 614.000000 476.000000 45.000000 0.436697 0.550000 0.082212
0.135000 55.000000 608.000000 482.000000 45.000000 0.442202 0.550000 0.082956
0.136000 55.000000 604.000000 486.000000 45.000000 0.445872 0.550000 0.083460
0.137000 55.000000 601.000000 489.000000 45.000000 0.448624 0.550000 0.083841
0.138000 55.000000 600.000000 490.000000 45.000000 0.449541 0.550000 0.083969
0.139000 55.000000 595.000000 495.000000 45.000000 0.454128 0.550000 0.084615
0.140000 54.000000 590.000000 500.000000 46.000000 0.458716 0.540000 0.083851
0.141000 53.000000 589.000000 501.000000 47.000000 0.459633 0.530000 0.082555
0.142000 53.000000 580.000000 510.000000 47.000000 0.467890 0.530000 0.083728
0.143000 53.000000 578.000000 512.000000 47.000000 0.469725 0.530000 0.083994
0.144000 53.000000 577.000000 513.000000 47.000000 0.470642 0.530000 0.084127
0.145000 53.000000 575.000000 515.000000 47.000000 0.472477 0.530000 0.084395
0.146000 53.000000 573.000000 517.000000 47.000000 0.474312 0.530000 0.084665
0.147000 53.000000 572.000000 518.000000 47.000000 0.475229 0.530000 0.084800
0.148000 52.000000 569.000000 521.000000 48.000000 0.477982 0.520000 0.083736
0.149000 51.000000 564.000000 526.000000 49.000000 0.482569 0.510000 0.082927
0.150000 51.000000 562.000000 528.000000 49.000000 0.484404 0.510000 0.083197
0.151000 51.000000 558.000000 532.000000 49.000000 0.488073 0.510000 0.083744
0.152000 51.000000 555.000000 535.000000 49.000000 0.490826 0.510000 0.084158
0.153000 51.000000 552.000000 538.000000 49.000000 0.493578 0.510000 0.084577
0.154000 50.000000 550.000000 540.000000 50.000000 0.495413 0.500000 0.083333
0.155000 50.000000 548.000000 542.000000 50.000000 0.497248 0.500000 0.083612
0.156000 50.000000 544.000000 546.000000 50.000000 0.500917 0.500000 0.084175
0.157000 50.000000 541.000000 549.000000 50.000000 0.503670 0.500000 0.084602
0.158000 50.000000 534.000000 556.000000 50.000000 0.510092 0.500000 0.085616
0.159000 49.000000 533.000000 557.000000 51.000000 0.511009 0.490000 0.084192
0.160000 47.000000 531.000000 559.000000 53.000000 0.512844 0.470000 0.081315
0.161000 46.000000 531.000000 559.000000 54.000000 0.512844 0.460000 0.079723
0.162000 45.000000 530.000000 560.000000 55.000000 0.513761 0.450000 0.078261
