THRESH TP FP TN FN ESPECIFICIDADE SENSITIVIDADE
0.063000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.064000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.065000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.066000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.067000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.068000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.069000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.070000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.071000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.072000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.073000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.074000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.075000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.076000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.077000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.078000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.079000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.080000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.081000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.082000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.083000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.084000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.085000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.086000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.087000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.088000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.089000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.090000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
